Trained Model,Test Dataset,mAP50,mAP50-95,Precision,Recall,FPS,Predictions,Ground Truth,Pole AP50,Pole Precision,Pole Recall,Pole F1,Trunk AP50,Trunk Precision,Trunk Recall,Trunk F1,Vine Row AP50,Vine Row Precision,Vine Row Recall,Vine Row F1
Aug+Mar+Jul 6x6 (v4),Test: March Dataset (v10),0.22419171200166788,0.06270739149752191,0.22419171200166788,0.38128825639077085,19.49594988513559,1348,2118,0.47529667678432996,0.47529667678432996,0.6467486818980668,0.5479234807080702,0.1151941609645182,0.1151941609645182,0.14112903225806453,0.12684954688891464,0.08208429825615554,0.08208429825615554,0.3559870550161812,0.13340725149454283
August Full Res (v5),Test: August Dataset (v6),0.5006027871677686,0.1650358688532966,0.5006027871677686,0.6127271529664906,20.044928846274637,1207,1401,0.597304362524724,0.597304362524724,0.6956521739130435,0.6427378903591915,0.40864538571951003,0.40864538571951003,0.46333853354134164,0.4342767098691709,0.495858613259072,0.495858613259072,0.6791907514450867,0.5732228692106722
August Full Res (v5),Test: July Dataset (v14),0.2709853227043307,0.11494272772701083,0.2709853227043307,0.39181806357159515,20.624030860046787,908,1287,0.49629192583853243,0.49629192583853243,0.5853658536585366,0.5371612950768757,0.04044243497715586,0.04044243497715586,0.10474631751227496,0.058354329277608204,0.27622160729730383,0.27622160729730383,0.48534201954397393,0.35207026176762674
August Full Res (v5),Test: March Dataset (v10),0.025376181331004923,0.00978198119192834,0.025376181331004923,0.05630228733976938,21.440704838190616,411,2118,0.05544897603621908,0.05544897603621908,0.140597539543058,0.07953203940237187,0.009900990099009901,0.009900990099009901,0.0024193548387096775,0.003888528839922229,0.01077857785778578,0.01077857785778578,0.025889967637540454,0.01522051273903692
August 2x2 (v6),Test: August Dataset (v6),0.5633098156396187,0.19681841081683737,0.5633098156396187,0.6700492704860802,20.168591274091188,1238,1401,0.6453699940414378,0.6453699940414378,0.748792270531401,0.6932450769196347,0.44986591511378426,0.44986591511378426,0.5070202808112324,0.47673619617408836,0.594693537763634,0.594693537763634,0.7543352601156069,0.6650685370145195
August 2x2 (v6),Test: July Dataset (v14),0.29248501856800385,0.11999406675627083,0.29248501856800385,0.40230038334296525,20.855784691267488,800,1287,0.5148196691867337,0.5148196691867337,0.6151761517615176,0.5605415118715489,0.04951634594559611,0.04951634594559611,0.10638297872340426,0.06757818083401262,0.3131190405716818,0.3131190405716818,0.48534201954397393,0.3806568287418274
August 2x2 (v6),Test: March Dataset (v10),0.022032036496911704,0.007373472411499841,0.022032036496911704,0.06418040910742982,21.06156949256437,620,2118,0.047921052548421175,0.047921052548421175,0.15289982425307558,0.07297170124317859,0.0099009900990099,0.0099009900990099,0.0008064516129032258,0.0014914243102162564,0.008274066843304048,0.008274066843304048,0.038834951456310676,0.013641676086831566
August 4x4 (v7),Test: August Dataset (v6),0.43894641557914327,0.1468214699896325,0.43894641557914327,0.5442355445188181,20.125359157223414,1059,1401,0.5687060695510329,0.5687060695510329,0.6570048309178744,0.6096749811467039,0.2983909865883947,0.2983909865883947,0.3369734789391576,0.3165107722896995,0.44974219059800247,0.44974219059800247,0.638728323699422,0.5278288602663489
August 4x4 (v7),Test: July Dataset (v14),0.23261208979285805,0.10320881198562161,0.23261208979285805,0.3143644776214009,20.985412681669665,661,1287,0.4341351313821007,0.4341351313821007,0.48509485094850946,0.45820245400474435,0.027860083852698166,0.027860083852698166,0.07037643207855974,0.03991781020276428,0.23584105414377535,0.23584105414377535,0.38762214983713356,0.29325617243600893
August 4x4 (v7),Test: March Dataset (v10),0.016752765661987818,0.006292244462699453,0.016752765661987818,0.035632435126316454,21.19869811968873,432,2118,0.03448578950265699,0.03448578950265699,0.09314586994727592,0.05033561230634472,0.0099009900990099,0.0099009900990099,0.0008064516129032258,0.0014914243102162564,0.005871517384296568,0.005871517384296568,0.012944983818770227,0.00807872799635665
August 6x6 (v8),Test: August Dataset (v6),0.3599449725030577,0.10806640691967406,0.3599449725030577,0.519291078532086,19.54003370491375,1166,1401,0.5559967266558509,0.5559967266558509,0.6570048309178744,0.6022952453879545,0.2347522960610616,0.2347522960610616,0.2823712948517941,0.2563693127640129,0.28908589479226054,0.28908589479226054,0.6184971098265896,0.3940108827748164
August 6x6 (v8),Test: July Dataset (v14),0.1994693183867781,0.0923928547816694,0.1994693183867781,0.2922291101854954,21.004961083809356,746,1287,0.45074514201926447,0.45074514201926447,0.5230352303523035,0.4842069030659613,0.02120926378352121,0.02120926378352121,0.04746317512274959,0.029317700585989676,0.12645354935754857,0.12645354935754857,0.30618892508143325,0.1789869402015011
August 6x6 (v8),Test: March Dataset (v10),0.010574265866722627,0.0037346309577815802,0.010574265866722627,0.02584936243502296,21.20806184550146,422,2118,0.01624466750867772,0.01624466750867772,0.05975395430579965,0.02554475586138922,0.009900990099009901,0.009900990099009901,0.0016129032258064516,0.0027739251040221915,0.00557713999248026,0.00557713999248026,0.016181229773462782,0.008295197174040692
March Full Res (v9),Test: August Dataset (v6),0.0057611024260320765,0.0013250952900652527,0.0057611024260320765,0.01657283682651654,21.668630808289542,142,1401,0.007382317179086329,0.007382317179086329,0.043478260869565216,0.012621575469596852,0.0099009900990099,0.0099009900990099,0.0062402496099844,0.007655502392344498,0.0,0.0,0.0,0.0
March Full Res (v9),Test: July Dataset (v14),0.0010483401281304603,0.0002754083592854577,0.0010483401281304603,0.009596718989557598,22.00909345006772,178,1287,0.0011648223645894002,0.0011648223645894002,0.018970189701897018,0.002194873402837658,0.0019801980198019802,0.0019801980198019802,0.009819967266775777,0.0032957978577313925,0.0,0.0,0.0,0.0
March Full Res (v9),Test: March Dataset (v10),0.2799909946256199,0.08001422352256281,0.2799909946256199,0.42979084666571626,19.535377588683037,1423,2118,0.5336799488342758,0.5336799488342758,0.6994727592267135,0.6054312396427382,0.15101437653247618,0.15101437653247618,0.22096774193548388,0.1794134939583145,0.15527865851010758,0.15527865851010758,0.36893203883495146,0.21856582615284217
