Trained Model,Test Dataset,mAP50,mAP50-95,Precision,Recall,FPS,Predictions,Ground Truth
vineyard_object_detection_paper-58,Test: Dataset (v58),0.6330701152589271,0.3353745656185869,0.6330701152589271,0.7044025157232704,7.047709717732131,334,318
vineyard_object_detection_paper-58,Test: Dataset (v58_aug),0.260973585093692,0.08167461824994136,0.260973585093692,0.36428571428571427,6.926230217879804,867,980
vineyard_object_detection_paper-58,Test: Dataset (v59),0.21519411471383074,0.11038132663284805,0.21519411471383074,0.22613065326633167,8.529024354374057,166,597
vineyard_object_detection_paper-58,Test: Dataset (v59_aug),0.12054371080192232,0.03987090315159332,0.12054371080192232,0.14748603351955308,8.45935953625731,451,1790
vineyard_object_detection_paper-58,Test: Dataset (v60),0.0018001800180018003,0.0012601260126012602,0.0018001800180018003,0.0049382716049382715,7.033152578054398,13,405
vineyard_object_detection_paper-58,Test: Dataset (v60_aug),0.0015001500150015003,0.00074007400740074,0.0015001500150015003,0.004156275976724855,8.033516912257905,33,1203
vineyard_object_detection_paper-58,Test: Dataset (v61),0.5580931798604569,0.3065181536676054,0.5580931798604569,0.6200607902735562,26.396737678656436,311,329
vineyard_object_detection_paper-58,Test: Dataset (v61_aug),0.22732081156812287,0.07725713647749773,0.22732081156812287,0.3293135435992579,25.76115132658164,802,1078
vineyard_object_detection_paper-58,Test: Dataset (v62),0.0,0.0,0.0,0.0,18.39242779397159,5,381
vineyard_object_detection_paper-58,Test: Dataset (v62_aug),0.0,0.0,0.0,0.0,18.280628688091674,60,1443
vineyard_object_detection_paper-58,Test: Dataset (v63),0.009900990099009901,0.0029702970297029703,0.009900990099009901,0.004514672686230248,38.573517539272856,9,443
vineyard_object_detection_paper-58,Test: Dataset (v63_aug),0.0,0.0,0.0,0.0,38.48725367358766,43,1848
vineyard_object_detection_paper-58,Test: Dataset (v64),0.40205995125912247,0.17167183674663253,0.40205995125912247,0.43023255813953487,21.464431631386738,354,602
vineyard_object_detection_paper-58,Test: Dataset (v64_aug),0.17743641835264276,0.055811878823541494,0.17743641835264276,0.2321523003701745,21.617531452760335,923,1891
vineyard_object_detection_paper-58,Test: Dataset (v65),0.3272732670864494,0.14487268417961802,0.3272732670864494,0.35522388059701493,45.18677344260075,343,670
vineyard_object_detection_paper-58,Test: Dataset (v65_aug),0.1298001123045034,0.04224160748618761,0.1298001123045034,0.17397020157756354,45.14873587541333,780,2282
vineyard_object_detection_paper-58,Test: Dataset (v66),0.0,0.0,0.0,0.0,19.473613732335316,1,768
vineyard_object_detection_paper-58,Test: Dataset (v66_aug),0.0,0.0,0.0,0.0,19.348153356776994,1,2939
vineyard_object_detection_paper-58,Test: Dataset (v67),0.11780211578393443,0.05795080893597604,0.11780211578393443,0.13507109004739337,19.16505979394256,91,422
vineyard_object_detection_paper-58,Test: Dataset (v67_aug),0.044855135857037653,0.012469295764779578,0.044855135857037653,0.07395498392282958,20.936979799159108,204,1244
vineyard_object_detection_paper-58,Test: Dataset (v68),0.09536945210957999,0.04854914776609284,0.09536945210957999,0.09772727272727273,32.58592297316838,52,440
vineyard_object_detection_paper-58,Test: Dataset (v68_aug),0.03616533501952336,0.015866370623472858,0.03616533501952336,0.046263345195729534,33.80694773726496,128,1405
vineyard_object_detection_paper-58,Test: Dataset (v69),0.07172505712109672,0.03823168046541893,0.07172505712109672,0.07915057915057915,51.81810681824203,55,518
vineyard_object_detection_paper-58,Test: Dataset (v69_aug),0.0299078183680437,0.013004611435665999,0.0299078183680437,0.034442498540572096,52.880777637289455,127,1713
vineyard_object_detection_paper-59,Test: Dataset (v58),0.0883448564652707,0.03132440010747398,0.0883448564652707,0.1761006289308176,7.099747831357519,192,318
vineyard_object_detection_paper-59,Test: Dataset (v58_aug),0.022136681531744102,0.007100980330092654,0.022136681531744102,0.07448979591836735,6.960444619532866,549,980
vineyard_object_detection_paper-59,Test: Dataset (v59),0.6671929250168168,0.30123740935181037,0.6671929250168168,0.7202680067001676,8.356448074802701,604,597
vineyard_object_detection_paper-59,Test: Dataset (v59_aug),0.253347853043635,0.07385260431110642,0.253347853043635,0.38100558659217876,8.900864424004236,1570,1790
vineyard_object_detection_paper-59,Test: Dataset (v60),0.4164289208949452,0.17934892936994967,0.4164289208949452,0.45925925925925926,6.9220361920007925,247,405
vineyard_object_detection_paper-59,Test: Dataset (v60_aug),0.2305050644810667,0.07409714793383416,0.2305050644810667,0.29842061512884455,7.983875542292502,611,1203
vineyard_object_detection_paper-59,Test: Dataset (v61),0.1313037717268067,0.05452279797324996,0.1313037717268067,0.2188449848024316,26.378453068335663,228,329
vineyard_object_detection_paper-59,Test: Dataset (v61_aug),0.038192033451959775,0.00926181594291362,0.038192033451959775,0.1150278293135436,25.568884410267533,661,1078
vineyard_object_detection_paper-59,Test: Dataset (v62),0.0,0.0,0.0,0.0,18.410366741990146,7,381
vineyard_object_detection_paper-59,Test: Dataset (v62_aug),0.0,0.0,0.0,0.0,18.259906812469694,7,1443
vineyard_object_detection_paper-59,Test: Dataset (v63),0.0,0.0,0.0,0.0,38.205436331183684,4,443
vineyard_object_detection_paper-59,Test: Dataset (v63_aug),0.0,0.0,0.0,0.0,38.48957504805555,9,1848
vineyard_object_detection_paper-59,Test: Dataset (v64),0.2918258815170863,0.10116260480264505,0.2918258815170863,0.4019933554817276,21.486973431599246,572,602
vineyard_object_detection_paper-59,Test: Dataset (v64_aug),0.10923901936537939,0.03230466303256261,0.10923901936537939,0.2004230565838181,21.87314852796468,1562,1891
vineyard_object_detection_paper-59,Test: Dataset (v65),0.13280364140295486,0.05047007832594047,0.13280364140295486,0.21194029850746268,45.64320686950437,450,670
vineyard_object_detection_paper-59,Test: Dataset (v65_aug),0.04817391719979346,0.017587836312887867,0.04817391719979346,0.09114811568799298,45.76029491537513,1031,2282
