Trained Model,Backbone,Train Dataset ID,Train Season,Train Variant,Test Dataset ID,Test Dataset Folder,Test Season,Image Size,Eval Mode,Eval Grid,mIoU,Pixel Accuracy,FPS,Pole IoU,Trunk IoU,Vine Row IoU,Pole Precision,Trunk Precision,Vine Row Precision,Pole Recall,Trunk Recall,Vine Row Recall,Pole F1,Trunk F1,Vine Row F1,Best Val Loss,Checkpoint
resnet101 | 22 | resnet101_img1280x960_20260210_165631,resnet101,22,Aug+Jul,2x2,10,vineyard_segmentation_paper-10,March,1280x960,tiled_reconstruct,2x2,0.32473432845375766,0.9409876768706156,3.903891522815797,0.13250932694192982,0.011684453844175336,0.051494998018469504,0.19470234233643638,0.1396450205182414,0.4527745340722115,0.401824398672015,0.014580257527046463,0.061345708813062526,0.2107974276841044,0.018128199065557977,0.09241183882429882,0.11437577741841475,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-22/resnet101_img1280x960_20260210_165631/resnet101_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth
resnet18 | 22 | resnet18_img1280x960_20260209_061153,resnet18,22,Aug+Jul,2x2,6,vineyard_segmentation_paper-6,August,1280x960,tiled_reconstruct,2x2,0.4591988643067016,0.9261244248750574,8.173870496639116,0.20669137986764746,0.02769102219132493,0.30866106732132337,0.44192937428779105,0.12996027336015073,0.713643761490477,0.26765979694430175,0.03724345421701363,0.34208384793324537,0.30432573808773816,0.049575895574247235,0.44877466363200613,0.12049542814493179,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth
resnet18 | 22 | resnet18_img1280x960_20260209_061153,resnet18,22,Aug+Jul,2x2,14,vineyard_segmentation_paper-14,July,1280x960,tiled_reconstruct,2x2,0.47625852426001797,0.9364245715961264,8.183720376650186,0.1388483103491757,0.06024211369742422,0.2882619966739176,0.43908105492694394,0.1829358852958575,0.6199276758391223,0.1604425305715216,0.09177750864346595,0.3197793047996133,0.21574127243440616,0.10509751546872315,0.4088732248886858,0.12049542814493179,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth
resnet18 | 22 | resnet18_img1280x960_20260209_061153,resnet18,22,Aug+Jul,2x2,10,vineyard_segmentation_paper-10,March,1280x960,tiled_reconstruct,2x2,0.3238446081985646,0.9421988657850251,7.788826107521941,0.11442176267514245,0.0007598540470426004,0.051773168347601636,0.20012499341885276,0.03518261015050179,0.3400887620288039,0.2838799524375875,0.0007992208112668827,0.06832961930117178,0.18626105243454852,0.0014949265597295326,0.09023776755353397,0.12049542814493179,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-22/resnet18_img1280x960_20260209_061153/resnet18_vineyard_segmentation_paper-22_unet_image_size_1280x960_batch_size_8.pth
resnet50 | 22 | resnet50_img2028x1520_20260209_221925,resnet50,22,Aug+Jul,2x2,6,vineyard_segmentation_paper-6,August,2028x1520,tiled_reconstruct,2x2,0.44126427485137815,0.9278926212535776,2.3945844091631625,0.11908700381200872,0.03863684421591866,0.3523445639771389,0.4571584933018115,0.31681174183467326,0.6556699307239205,0.1282581694251805,0.03947207747172588,0.4188022728727729,0.18569692325197945,0.06631821348617142,0.4938297326192327,0.1201056744903326,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-22/resnet50_img2028x1520_20260209_221925/resnet50_vineyard_segmentation_paper-22_unet_image_size_2028x1520_batch_size_8.pth
resnet50 | 22 | resnet50_img2028x1520_20260209_221925,resnet50,22,Aug+Jul,2x2,14,vineyard_segmentation_paper-14,July,2028x1520,tiled_reconstruct,2x2,0.4276549538846799,0.9371964164473267,2.406042412283043,0.0620269146313648,0.02152508689462771,0.3108462482321082,0.400683119112285,0.23808798353464097,0.593939567883067,0.06512032375705751,0.024035485385295426,0.3562179970437673,0.10225900019357305,0.03965383315087291,0.4338745580466559,0.1201056744903326,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-22/resnet50_img2028x1520_20260209_221925/resnet50_vineyard_segmentation_paper-22_unet_image_size_2028x1520_batch_size_8.pth
resnet50 | 22 | resnet50_img2028x1520_20260209_221925,resnet50,22,Aug+Jul,2x2,10,vineyard_segmentation_paper-10,March,2028x1520,tiled_reconstruct,2x2,0.2973792000425984,0.9409665325712581,2.378274034884191,0.11099906937198993,0.0008862550097352307,0.022779324479436234,0.20878714167833962,0.09215045812600532,0.26189477257721105,0.24575722938566905,0.0008902464226129404,0.025436043792665248,0.1796055976234428,0.0017446898659076921,0.04344185980640508,0.1201056744903326,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-22/resnet50_img2028x1520_20260209_221925/resnet50_vineyard_segmentation_paper-22_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 23 | resnet101_img1280x960_20260210_234250,resnet101,23,Aug+Jul,4x4,6,vineyard_segmentation_paper-6,August,1280x960,tiled_reconstruct,4x4,0.39987571356400764,0.9080436419497339,1.309169299192991,0.16264102580561376,0.07390002652118173,0.1228794156107521,0.4848869903491151,0.295097988860252,0.727260323921916,0.18554387675897863,0.08439811844271321,0.12705584282213658,0.24345666443591632,0.12033002712268741,0.20853386830871165,0.1174336636470536,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-23/resnet101_img1280x960_20260210_234250/resnet101_vineyard_segmentation_paper-23_unet_image_size_1280x960_batch_size_8.pth
resnet101 | 23 | resnet101_img1280x960_20260210_234250,resnet101,23,Aug+Jul,4x4,14,vineyard_segmentation_paper-14,July,1280x960,tiled_reconstruct,4x4,0.38975265306076784,0.9194164757905454,1.3136260500279873,0.08310760191179317,0.045294152019634576,0.0973982646432357,0.48656755568892507,0.25042020894366407,0.6409737419672011,0.08819897069097857,0.055998007573037904,0.10036223098025719,0.13811280309567556,0.08011605699294314,0.1628876664497541,0.1174336636470536,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-23/resnet101_img1280x960_20260210_234250/resnet101_vineyard_segmentation_paper-23_unet_image_size_1280x960_batch_size_8.pth
resnet101 | 23 | resnet101_img1280x960_20260210_234250,resnet101,23,Aug+Jul,4x4,10,vineyard_segmentation_paper-10,March,1280x960,tiled_reconstruct,4x4,0.29950447410437303,0.9430900893135202,1.3043472519317463,0.11829099747470975,0.003224744555308892,0.004275189211107177,0.21522950105506658,0.1062616848183493,0.3832575732982862,0.2676131657462303,0.0032828100632260773,0.004310848918663952,0.1905140704680297,0.006203467159718055,0.008402857214181528,0.1174336636470536,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-23/resnet101_img1280x960_20260210_234250/resnet101_vineyard_segmentation_paper-23_unet_image_size_1280x960_batch_size_8.pth
resnet18 | 23 | resnet18_img1014x760_20260209_120932,resnet18,23,Aug+Jul,4x4,6,vineyard_segmentation_paper-6,August,1014x760,tiled_reconstruct,4x4,0.4429596712471332,0.925750208430655,4.726115268700354,0.12871895532136352,0.03856799309737051,0.3277609461661359,0.4347325394966379,0.3090549386905277,0.6670488608181031,0.150380090241669,0.04220810408546443,0.3820678534077232,0.20007241209306487,0.06772594931911534,0.46768981095703493,0.12061180355879715,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-23/resnet18_img1014x760_20260209_120932/resnet18_vineyard_segmentation_paper-23_unet_image_size_1014x760_batch_size_8.pth
resnet18 | 23 | resnet18_img1014x760_20260209_120932,resnet18,23,Aug+Jul,4x4,14,vineyard_segmentation_paper-14,July,1014x760,tiled_reconstruct,4x4,0.4442666677336968,0.9333392642018533,4.825610617399873,0.07637616377466215,0.06660628807110014,0.26620843069903866,0.4277615453980582,0.2690423656844644,0.6248604570170737,0.08211194091363037,0.09289797697338234,0.2937031679461824,0.1274974292279088,0.11363254908054199,0.38465043398410614,0.12061180355879715,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-23/resnet18_img1014x760_20260209_120932/resnet18_vineyard_segmentation_paper-23_unet_image_size_1014x760_batch_size_8.pth
resnet18 | 23 | resnet18_img1014x760_20260209_120932,resnet18,23,Aug+Jul,4x4,10,vineyard_segmentation_paper-10,March,1014x760,tiled_reconstruct,4x4,0.32321162221425226,0.9435436374312262,4.7122888455956815,0.06414219603498622,0.00026809701573143787,0.004870345133233082,0.1736028113760409,0.05284384989744832,0.2404992434152537,0.10775318442491967,0.00026991977570782136,0.004971948180930971,0.10855352275280863,0.0005327747648801672,0.009413586837985499,0.12061180355879715,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-23/resnet18_img1014x760_20260209_120932/resnet18_vineyard_segmentation_paper-23_unet_image_size_1014x760_batch_size_8.pth
resnet50 | 23 | resnet50_img640x480_20260210_080803,resnet50,23,Aug+Jul,4x4,6,vineyard_segmentation_paper-6,August,640x480,tiled_reconstruct,4x4,0.4641222976623548,0.9281295098183702,4.161564857793254,0.2203117045480316,0.06545460501027307,0.3361033299098798,0.4268241196716641,0.34049793360261765,0.6889832896128361,0.2912780893472859,0.07374357410430973,0.38509747567063546,0.31911577354551307,0.10955468408708147,0.4771281669830701,0.11648084526344882,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-23/resnet50_img640x480_20260210_080803/resnet50_vineyard_segmentation_paper-23_unet_image_size_640x480_batch_size_8.pth
